"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 20:53:10 ART 2022","Tue Oct 18 20:53:11 ART 2022","1626","","Traversing DOM elements in Cypress","","","","prevAll() to get all previous sibling DOM elements within elements",""
"passed","Tue Oct 18 20:53:04 ART 2022","Tue Oct 18 20:53:06 ART 2022","1998","","Traversing DOM elements in Cypress","","","","parents() to get parents DOM element of elements",""
"passed","Tue Oct 18 20:51:07 ART 2022","Tue Oct 18 20:51:09 ART 2022","2049","","Test mouse actions","","","","I should be able to a double mouse click",""
"passed","Tue Oct 18 20:49:30 ART 2022","Tue Oct 18 20:49:41 ART 2022","10415","","Test Contact Us form via Webdriveruni","","","","Should be able to submit a successful submission via contact us form",""
"passed","Tue Oct 18 20:53:06 ART 2022","Tue Oct 18 20:53:10 ART 2022","3330","","Traversing DOM elements in Cypress","","","","prev() to get the previous sibling DOM element within elements",""
"passed","Tue Oct 18 20:52:52 ART 2022","Tue Oct 18 20:52:56 ART 2022","3124","","Traversing DOM elements in Cypress","","","","nextAll() to get all of the next sibling DOM elements within elements",""
"passed","Tue Oct 18 20:50:53 ART 2022","Tue Oct 18 20:51:05 ART 2022","12881","","Test mouse actions","","","","Scroll element into view",""
"passed","Tue Oct 18 20:52:48 ART 2022","Tue Oct 18 20:52:50 ART 2022","1533","","Traversing DOM elements in Cypress","","","","find() to retrieve DOM elements of a given selector",""
"passed","Tue Oct 18 20:45:42 ART 2022","Tue Oct 18 20:45:44 ART 2022","2227","","Handle js alerts","","","","Challenge - Click on the alert and then on cancel button",""
"passed","Tue Oct 18 20:52:56 ART 2022","Tue Oct 18 20:52:59 ART 2022","3557","","Traversing DOM elements in Cypress","","","","nextUntil() to get all of the next sibling DOM elements within elements until another element",""
"passed","Tue Oct 18 20:52:51 ART 2022","Tue Oct 18 20:52:52 ART 2022","1327","","Traversing DOM elements in Cypress","","","","last() to retrieve the last DOM element within elements",""
"passed","Tue Oct 18 20:49:17 ART 2022","Tue Oct 18 20:49:19 ART 2022","1709","","Verify checkboxes via Webdriveruni","","","","Challenge - Uncheck and validate",""
"passed","Tue Oct 18 20:53:13 ART 2022","Tue Oct 18 20:53:16 ART 2022","2539","","Traversing DOM elements in Cypress","","","","siblings() To get all sibling DOM elements of elements",""
"passed","Tue Oct 18 20:52:42 ART 2022","Tue Oct 18 20:52:44 ART 2022","1687","","Traversing DOM elements in Cypress","","","","closest() to validate the closest ancestor DOM element",""
"passed","Tue Oct 18 20:45:44 ART 2022","Tue Oct 18 20:45:46 ART 2022","1428","","Handle js alerts","","","","Validate js alert using a stub",""
"passed","Tue Oct 18 20:51:30 ART 2022","Tue Oct 18 20:51:35 ART 2022","5075","","Verify radio buttons via Webdriveruni","","","","Validate the states of specific radio buttons",""
